Country,BFA ,CIV ,GHA ,GMB ,NER ,NGA ,SEN ,TGO 
BFA ,1,,,,,,,
CIV ,-0.19,1,,,,,,
GHA ,0.09,0.15,1,,,,,
GMB ,0.07,-0.08,-0.05,1,,,,
NER ,-0.51,-0.19,-0.05,-0.16,1,,,
NGA ,-0.11,0.08,0.03,-0.14,-0.03,1,,
SEN ,-0.29,-0.02,-0.21,-0.08,-0.25,-0.01,1,
TGO ,-0.31,0.03,0.05,-0.2,-0.28,0.22,0.04,1
Country,BFA ,CIV ,GHA ,GMB ,NER ,NGA ,SEN ,TGO 
BFA ,1,,,,,,,
CIV ,-0.07,1,,,,,,
GHA ,-0.06,-0.04,1,,,,,
GMB ,-0.25,0.13,0.04,1,,,,
NER ,-0.1,0.05,-0.02,-0.08,1,,,
NGA ,-0.03,-0.11,-0.29,-0.05,0.05,1,,
SEN ,-0.06,-0.11,0.06,0.1,-0.17,-0.12,1,
TGO ,-0.26,-0.24,-0.31,-0.13,-0.38,-0.11,-0.31,1
